Question,Answer,Category,Keywords,Source
What does the Student Handbook contain?,"The handbook includes academic calendar, holidays, scheme, syllabus, question bank, attendance rules, IKS activities, project guidelines and student support information.",General,"handbook, sections",Student Handbook (Sem V)
Does the handbook include the academic calendar?,"Yes, it includes semester dates, exam schedules, practical exam timelines and important academic events.",Academic Calendar,"calendar, semester, exams",Student Handbook (Sem V)
Does the handbook include the holiday list?,"Yes, it contains gazetted, restricted and institute-declared holidays for the semester.",Holidays,"holiday, gazetted",Student Handbook (Sem V)
What information is included in the teaching scheme?,"It includes subject codes, credits, contact hours and the evaluation scheme.",Scheme,"credits, subject code",Student Handbook (Sem V)
Is the complete syllabus included?,The handbook provides unit-wise syllabus information and reference resources for every subject.,Syllabus,"units, syllabus",Student Handbook (Sem V)
How can I access the syllabus?,Students can scan the QR code provided in the handbook to access the latest syllabus.,Syllabus,"QR code, syllabus",Student Handbook (Sem V)
When should I review the syllabus?,Students are advised to review it at the beginning of the semester and refer to it regularly.,Syllabus,"review, semester",Student Handbook (Sem V)
Who should I contact if the syllabus QR code does not work?,Students should contact the concerned course faculty.,Syllabus,"faculty, QR issue",Student Handbook (Sem V)
Where is the Question Bank available?,It is available on the Parakh Portal.,Question Bank,"Parakh, question bank",Student Handbook (Sem V)
Can I download unit-wise question banks?,"Yes, students can download unit-wise question banks for registered courses.",Question Bank,"unit-wise, download",Student Handbook (Sem V)
What is the purpose of the Question Bank?,It helps students prepare systematically for university examinations.,Question Bank,exam preparation,Student Handbook (Sem V)
Should I check LMS regularly?,"Yes, students should regularly check LMS and Parakh for study materials and announcements.",LMS,"LMS, announcements",Student Handbook (Sem V)
Who should I contact if I cannot access the Question Bank?,Students should contact the concerned course faculty or department coordinator.,Question Bank,"faculty, coordinator",Student Handbook (Sem V)
Is attendance compulsory?,"Yes, regular attendance is mandatory.",Attendance,"mandatory, attendance",Student Handbook (Sem V)
What is the minimum attendance required?,Students must maintain at least 75% attendance in every course.,Attendance,"75%, eligibility",Student Handbook (Sem V)
What counts towards attendance?,"Lectures, laboratory classes, seminars, workshops and ITM Signature events count towards attendance.",Attendance,"lectures, labs",Student Handbook (Sem V)
What happens if attendance falls below 75%?,Students may be debarred from university end-semester examinations and face further action.,Attendance,"debarred, exams",Student Handbook (Sem V)
Does attendance affect scholarship eligibility?,"Yes, students below 75% attendance are not eligible for the scholarship.",Attendance,"scholarship, attendance",Student Handbook (Sem V)
Are IKS events organized at ITM?,"Yes, the university organizes IKS and Signature events throughout the year.",IKS,"events, IKS",Student Handbook (Sem V)
How many IKS credits are required each year?,Students need a minimum of 2 IKS credits per year.,IKS,"credits, participation",Student Handbook (Sem V)
Are IKS events open to all students?,"Yes, the handbook states they are open to all students.",IKS,participation,Student Handbook (Sem V)
Are NPTEL courses available?,"Yes, optional NPTEL certification courses are mapped to the curriculum.",NPTEL,certification,Student Handbook (Sem V)
Which NPTEL course is mapped for Semester V?,Theory of Computation is listed for B.Tech Semester V.,NPTEL,Theory of Computation,Student Handbook (Sem V)
How do I enroll in the NPTEL course?,Students can use the provided course link or search the course code on the NPTEL portal.,NPTEL,"enroll, NPTEL",Student Handbook (Sem V)
Which project domains are suggested?,"Suggested domains include AI, ML, DL, Computer Vision, NLP, Data Analytics, Cloud, IoT, Cyber Security and Full-Stack Development.",Projects,"AI, ML, NLP",Student Handbook (Sem V)
Can projects be done in groups?,"Yes, projects may be done individually or in groups of 2–4 students.",Projects,"group, individual",Student Handbook (Sem V)
How are project guides allotted?,Topics and faculty guides are shared through the Class WhatsApp Group or Parakh.,Projects,"guide, WhatsApp",Student Handbook (Sem V)
What are the expected project deliverables?,"Deliverables include Problem Statement, SRS, Source Code, Project Report, Presentation and Final Demonstration.",Projects,"SRS, report",Student Handbook (Sem V)
Are project reviews compulsory?,"Yes, students must complete scheduled reviews and submit deliverables on time.",Projects,"reviews, submission",Student Handbook (Sem V)
What is the maximum project team size?,The maximum team size is four students.,Projects,team size,Student Handbook (Sem V)
